,disposets,number_occurrences,average_days_occurrences,std_days_occurrences,batch_means,maxim_service_disposet,sds-psg_x,coefficient_variation,disposet_classification,probability_disposet,prob_superdisposet,lambda_rate,kmin,kmax,stock
0,KFZG1Z,11.0,23.363636363636363,21.625321857825504,-1.0,57.0,V37,0.9255974336034264,acceptance model,0.0072416063199473,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,understock
1,GSE5F3,63.0,34.20634920634921,88.02128751507543,-1.0,677.0,V37,2.5732441361715783,overdispersion,0.0414746543778801,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,overstock
2,KG2LBL,69.0,30.98550724637681,83.20324031331938,-1.0,680.0,V37,2.6852308613746665,overdispersion,0.0454246214614878,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,overstock
3,TEJ87Y,58.0,35.13793103448276,92.56528246838174,-1.0172413793103448,683.0,V37,2.634340717942169,overdispersion,0.0381830151415404,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,overstock
4,NA40JB,168.0,12.678571428571429,52.949905308682666,-1.0,684.0,V37,4.176330559558069,overdispersion,0.1105990783410138,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,overstock
5,KPUW93,33.0,55.60606060606061,116.7224109249,-1.0,685.0,V37,2.0990951283497,overdispersion,0.021724818959842,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,stock model accepted
6,I0FAHE,234.0,9.175213675213676,45.35221323885199,-1.0,687.0,V37,4.94290540190562,overdispersion,0.1540487162606978,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,overstock
7,TMV0SU,12.0,145.25,195.2104342404976,-1.0,693.0,V37,1.3439616815180555,overdispersion,0.0078999341672152,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,understock
8,I04GZM,36.0,50.77777777777778,142.1514506455524,-1.0,693.0,V37,2.7994815225601126,overdispersion,0.0236998025016458,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,stock model accepted
9,QHUDNY,151.0,14.218543046357617,57.53467291291807,-1.9933774834437088,694.0,V37,4.046453474546171,overdispersion,0.0994075049374588,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,overstock
10,LDKG5X,36.0,58.94444444444444,121.17306264641128,-1.0555555555555556,695.0,V37,2.05571642566956,overdispersion,0.0236998025016458,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,stock model accepted
11,PZRQLY,98.0,21.96938775510204,70.42367427641335,-1.0,696.0,V37,3.205536497486534,overdispersion,0.064516129032258,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,overstock
12,I0KSCN,28.0,44.75,136.78467127677828,-1.0,701.0,V37,3.05664069892242,overdispersion,0.0184331797235023,0.0265756557291847,40.3684210526316,32.225936056216966,48.51090604904623,understock
